t x y  25905
0 2 4 25905
0.1 12657.6 26.8059 -47.1778
0.2 -3.86208e+28 3.86208e+28 -48.2617
0.3 -inf inf -48.8599
0.4 -nan(ind) -nan(ind) 24.0814
0.5 -nan(ind) -nan(ind) 28.2185
0.6 -nan(ind) -nan(ind) 32.0613
0.7 -nan(ind) -nan(ind) 35.5861
0.8 -nan(ind) -nan(ind) 38.7502
0.9 -nan(ind) -nan(ind) 3.20372
1 -nan(ind) -nan(ind) -1.69526
1.1 -nan(ind) -nan(ind) -6.57267
1.2 -nan(ind) -nan(ind) -11.3704
1.3 -nan(ind) -nan(ind) -33.0922
1.4 -nan(ind) -nan(ind) -20.5825
1.5 -nan(ind) -nan(ind) -25.267
1.6 -nan(ind) -nan(ind) -28.9524
1.7 -nan(ind) -nan(ind) 47.2307
1.8 -nan(ind) -nan(ind) 45.7838
1.9 -nan(ind) -nan(ind) 43.8845
2 -nan(ind) -nan(ind) 41.5408
2.1 -nan(ind) -nan(ind) 38.7821
2.2 -nan(ind) -nan(ind) -45.9212
2.3 -nan(ind) -nan(ind) 32.1358
2.4 -nan(ind) -nan(ind) -48.125
2.5 -nan(ind) -nan(ind) -48.5037
2.6 -nan(ind) -nan(ind) -48.3954
2.7 -nan(ind) -nan(ind) -47.8015
2.8 -nan(ind) -nan(ind) -46.7302
2.9 -nan(ind) -nan(ind) -45.1883
3 -nan(ind) -nan(ind) -43.1981
3.1 -nan(ind) -nan(ind) -40.7726
3.2 -nan(ind) -nan(ind) -37.9398
3.3 -nan(ind) -nan(ind) -34.7302
3.4 -nan(ind) -nan(ind) -31.173
3.5 -nan(ind) -nan(ind) -27.3137
3.6 -nan(ind) -nan(ind) -23.1766
3.7 -nan(ind) -nan(ind) -18.8114
3.8 -nan(ind) -nan(ind) 47.3799
3.9 -nan(ind) -nan(ind) 46.2078
4 -nan(ind) -nan(ind) 44.5727
4.1 -nan(ind) -nan(ind) -40.0474
4.2 -nan(ind) -nan(ind) 39.9924
4.3 -nan(ind) -nan(ind) -44.5392
4.4 -nan(ind) -nan(ind) -46.1237
4.5 -nan(ind) -nan(ind) -47.2458
4.6 -nan(ind) -nan(ind) -47.89
4.7 -nan(ind) -nan(ind) -48.0526
4.8 -nan(ind) -nan(ind) 27.2094
4.9 -nan(ind) -nan(ind) 31.0221
5 -nan(ind) -nan(ind) 34.5133
5.1 -nan(ind) -nan(ind) 8.48407
5.2 -nan(ind) -nan(ind) 3.72103
5.3 -nan(ind) -nan(ind) -1.08434
5.4 -nan(ind) -nan(ind) -5.87429
5.5 -nan(ind) -nan(ind) -10.6007
5.6 -nan(ind) -nan(ind) -15.2075
5.7 -nan(ind) -nan(ind) -19.6671
5.8 -nan(ind) -nan(ind) -23.9242
5.9 -nan(ind) -nan(ind) -27.9369
6 -nan(ind) -nan(ind) -31.6653
6.1 -nan(ind) -nan(ind) -35.0659
6.2 -nan(ind) -nan(ind) -7.40411
6.3 -nan(ind) -nan(ind) -2.65246
6.4 -nan(ind) -nan(ind) -43.0403
6.5 -nan(ind) -nan(ind) 6.88758
6.6 -nan(ind) -nan(ind) 11.571
6.7 -nan(ind) -nan(ind) 16.1252
6.8 -nan(ind) -nan(ind) 28.2423
6.9 -nan(ind) -nan(ind) 24.2594
7 -nan(ind) -nan(ind) 20.0279
7.1 -nan(ind) -nan(ind) 15.5993
7.2 -nan(ind) -nan(ind) 11.0182
7.3 -nan(ind) -nan(ind) -44.5309
7.4 -nan(ind) -nan(ind) -42.6268
7.5 -nan(ind) -nan(ind) -40.3012
7.6 -nan(ind) -nan(ind) -37.569
7.7 -nan(ind) -nan(ind) -34.462
7.8 -nan(ind) -nan(ind) -31.0134
7.9 -nan(ind) -nan(ind) -27.2548
8 -nan(ind) -nan(ind) -23.2341
8.1 -nan(ind) -nan(ind) 47.2051
8.2 -nan(ind) -nan(ind) 46.5787
8.3 -nan(ind) -nan(ind) 45.4844
8.4 -nan(ind) -nan(ind) 43.9342
8.5 -nan(ind) -nan(ind) -38.9606
8.6 -nan(ind) -nan(ind) 39.5417
8.7 -nan(ind) -nan(ind) 36.7382
8.8 -nan(ind) -nan(ind) 13.4634
8.9 -nan(ind) -nan(ind) 30.0643
9 -nan(ind) -nan(ind) 26.2616
9.1 -nan(ind) -nan(ind) 22.2079
9.2 -nan(ind) -nan(ind) 17.9263
9.3 -nan(ind) -nan(ind) -46.1504
9.4 -nan(ind) -nan(ind) -44.9604
9.5 -nan(ind) -nan(ind) 4.21557
9.6 -nan(ind) -nan(ind) -41.248
9.7 -nan(ind) -nan(ind) -38.7668
9.8 -nan(ind) -nan(ind) -35.8942
9.9 -nan(ind) -nan(ind) 45.1464
10 -nan(ind) -nan(ind) -29.1099
